user_id,interests_text,math_grade,science_grade,language_grade
u_0000,physical-science-and-engineering project electronics evaluation euler's model education time python behavior,80,73,82
u_0001,natural security presentation problem computer-science leadership finance systems statistics basic-science,93,72,72
u_0002,project cloud-computing energy speech probability virtual natural global analytics,93,84,69
u_0003,platform business-strategy business social platforms problem teaching algorithms,81,69,69
u_0004,neural python finance supply communication sales,77,52,54
u_0005,tensorflow user design average governance-and-society learning-english market,68,62,78
u_0006,writing image public computer-security-and-networks electrical-engineering resource cost leadership-and-management,64,58,92
u_0007,strategy design hypothesis experience business-essentials writing statistics planning supply business-strategy,72,75,57
u_0008,materials control system theory game research measurement personal-development,68,76,61
u_0009,environmental-science-and-sustainability decision life-sciences medicine materials machine-learning mechanical average euler's system,79,67,71
u_0010,supply (economics) html child visualization analytics javascript economics,67,97,74
u_0011,experience computer-science innovation mobile-and-web-development personal-development,62,84,60
u_0012,change test speech innovation operations,77,51,59
u_0013,processing medical governance-and-society software-development user education totient cryptography,77,83,77
u_0014,learning-english user i-deas philosophy networks mobile-and-web-development resource analytics education,73,71,57
u_0015,performance finance economy computer physical-science-and-engineering algorithms computer-security-and-networks social environmental-science-and-sustainability,66,69,87
u_0016,brand software interfaces supply microsoft flow digital image,79,53,78
u_0017,environmental-science-and-sustainability corporate history learning-english solving,70,66,82
u_0018,medical teaching physical-science-and-engineering public information social difference,87,86,64
u_0019,corporate user disease computing basic-science,71,78,86
u_0020,computer-security-and-networks statistical html basic-science medicine,69,72,61
u_0021,algorithms plan system mechanical-engineering flow management,60,84,91
u_0022,testing physics data physical-science-and-engineering resource internet entrepreneurship development test,74,87,79
u_0023,machine syntax grammar strategy mechanical,67,79,93
u_0024,social-sciences graphics artificial sustainability arts-and-humanities user,74,93,43
u_0025,medicine problem change mechanical-engineering economy average child regression classification,84,76,71
u_0026,mobile-and-web-development measurement probability plan music training culture,76,51,72
u_0027,totient model software neural learning,79,92,68
u_0028,image experience platform analytics business life-sciences policy service engineering,65,68,85
u_0029,strategy computer-science music-and-art life-sciences stock english,78,68,81
u_0030,measurement grammar change mechanical-engineering health memory patient,76,86,66
u_0031,artificial euler's thought psychology communication graphics interface game problem,71,70,57
u_0032,microsoft average marketing international operations decision planning engineering,78,78,75
u_0033,average neural process totient leadership-and-management psychology learning-english investment,72,58,69
u_0034,problem information-technology business-strategy strategic totient cloud,70,65,73
u_0035,sustainability planning computer probability mechanical-engineering programming finance solving,79,97,77
u_0036,arts-and-humanities thought grammar databases change mobile-and-web-development,78,74,51
u_0037,arts-and-humanities supply management architecture user,74,75,100
u_0038,general problem platforms syntax visualization hypothesis speech grammar,72,78,74
u_0039,psychology public systems development design-and-product time,60,88,84
u_0040,engineering i-deas innovation development computer philosophy relative disease flow,84,64,91
u_0041,development mathematical writing risk strategy brand,58,82,100
u_0042,international english optimization modeling test,63,68,76
u_0043,design-and-product brand language electrical-engineering writing global,68,56,75
u_0044,philosophy linear database innovation ordered financial measurement speech entrepreneurship user,62,80,63
u_0045,health measurement decision statistical governance-and-society innovation solving life-sciences,93,65,71
u_0046,governance-and-society case linear planning life-sciences,84,60,77
u_0047,change basic-science user health google strategy euler's theory media,90,55,77
u_0048,music natural mine biology (computer operations,78,84,60
u_0049,analysis type image statistical hypothesis python human user history,59,81,78
u_0050,cryptography image algorithms (economics) media,78,79,66
u_0051,research speech teaching financial javascript materials user basic-science physics,77,78,66
u_0052,marketing finance materials problem evaluation design management,97,80,60
u_0053,health html user system electronics science image,82,63,84
u_0054,networks cloud-computing analysis physical-science-and-engineering cloud child function natural data-science theory,88,65,86
u_0055,image data-analysis interface social-sciences language internet control sales research,79,84,97
u_0056,totient type python game cloud-computing thought electrical-engineering i-deas algorithms english,72,65,64
u_0057,computing public-health project time application measurement,65,74,79
u_0058,totient personal-development social virtual process supply data-science deep analytics regression,78,84,75
u_0059,google internet experience model project graphics leadership-and-management mobile-and-web-development,92,71,100
u_0060,business-strategy strategy google medical mathematical mobile-and-web-development behavior,82,64,62
u_0061,music-and-art leadership history ordered computing design-and-product user data-science process,80,72,83
u_0062,information accounting average innovation medicine mathematical history interfaces cost,80,74,64
u_0063,pair design policy information management database,56,69,85
u_0064,javascript corporate electronics time measurement energy control interface strategy,77,60,77
u_0065,music-and-art case innovation hypothesis market corporate statistical basic-science java type,79,64,76
u_0066,economics optimization platforms public image social-sciences leadership-and-management global,75,61,79
u_0067,supply behavior i-deas network personal test biology optimization sustainability management,81,87,87
u_0068,general research interface design-and-product medicine operations testing,58,63,81
u_0069,science international change mathematical artificial time machine-learning graphics,81,81,100
u_0070,media stock hypothesis materials electrical-engineering,81,88,86
u_0071,finance solving english international java model energy,82,71,84
u_0072,project design euler's artificial (computer life-sciences,65,72,69
u_0073,value service cost leadership-and-management speech platforms interfaces performance,75,100,52
u_0074,euler's data-analysis operations child business solving process problem,83,55,69
u_0075,computing platforms training strategic computer visualization,88,75,62
u_0076,market difference human strategic type flow,66,83,66
u_0077,brand chain economy science (computer corporate basic-science networks sustainability,77,75,67
u_0078,social cryptography artificial culture ordered solving totient html,100,82,50
u_0079,database grammar computer-security-and-networks entrepreneurship evaluation music cloud,77,67,85
u_0080,general english (economics) application chain mechanical-engineering writing education function statistics,65,73,81
u_0081,excel algorithms mine change software value thought music-and-art,85,60,70
u_0082,microsoft value engineering financial global architecture philosophy platforms learning,69,67,96
u_0083,supply relative business game statistical solving architecture global learning-english,79,59,86
